n=88, m=8, U=3.520213, f=0.00, E=9780.42
n=88, m=8, U=3.763517, f=0.00, E=10317.76
n=88, m=8, U=3.507115, f=0.00, E=9794.03
n=88, m=8, U=3.362255, f=0.00, E=9324.40
n=88, m=8, U=3.815619, f=0.00, E=10601.82
n=88, m=8, U=3.559446, f=0.00, E=9750.94
n=88, m=8, U=3.832734, f=0.00, E=10709.44
n=88, m=8, U=3.681052, f=0.00, E=10480.44
n=88, m=8, U=3.383738, f=0.00, E=9430.66
n=88, m=8, U=3.498583, f=0.00, E=9711.44
n=104, m=8, U=3.528637, f=0.00, E=10013.68
n=104, m=8, U=3.522566, f=0.00, E=9822.19
n=104, m=8, U=3.375452, f=0.00, E=9618.72
n=104, m=8, U=3.767446, f=0.00, E=10681.59
n=104, m=8, U=3.819046, f=0.00, E=10875.43
n=104, m=8, U=3.425236, f=0.00, E=9670.14
n=104, m=8, U=3.674669, f=0.00, E=10246.66
n=104, m=8, U=3.816689, f=0.00, E=10601.72
n=104, m=8, U=3.746872, f=0.00, E=10212.55
n=104, m=8, U=3.512061, f=0.00, E=9973.79
n=120, m=8, U=3.624913, f=0.00, E=10192.04
n=120, m=8, U=3.811190, f=0.00, E=10624.77
n=120, m=8, U=3.662284, f=0.00, E=10481.86
n=120, m=8, U=3.565151, f=0.00, E=10208.17
n=120, m=8, U=3.464750, f=0.00, E=9907.23
n=120, m=8, U=3.751146, f=0.00, E=10524.97
n=120, m=8, U=3.550283, f=0.00, E=10296.86
n=120, m=8, U=3.780431, f=0.00, E=10778.54
n=120, m=8, U=3.613063, f=0.00, E=10379.72
n=120, m=8, U=3.482070, f=0.00, E=9981.38
n=88, m=8, U=3.822795, f=0.01, E=10605.39
n=88, m=8, U=3.781820, f=0.01, E=10328.56
n=88, m=8, U=3.483466, f=0.01, E=9749.28
n=88, m=8, U=3.714256, f=0.01, E=10241.94
n=88, m=8, U=3.528179, f=0.01, E=9840.16
n=88, m=8, U=3.403575, f=0.01, E=9410.42
n=88, m=8, U=3.780002, f=0.01, E=10630.96
n=88, m=8, U=3.756170, f=0.01, E=10458.36
n=88, m=8, U=3.672579, f=0.01, E=10256.69
n=88, m=8, U=3.598630, f=0.01, E=10006.47
n=104, m=8, U=3.438486, f=0.01, E=9657.66
n=104, m=8, U=3.704921, f=0.01, E=10509.04
n=104, m=8, U=3.634973, f=0.01, E=10379.05
n=104, m=8, U=3.577107, f=0.01, E=10244.92
n=104, m=8, U=3.506794, f=0.01, E=9794.62
n=104, m=8, U=3.441952, f=0.01, E=9610.91
n=104, m=8, U=3.626396, f=0.01, E=9970.89
n=104, m=8, U=3.388866, f=0.01, E=9533.97
n=104, m=8, U=3.559429, f=0.01, E=10233.26
n=104, m=8, U=3.814824, f=0.01, E=10693.56
n=120, m=8, U=3.597562, f=0.01, E=10257.30
n=120, m=8, U=3.518737, f=0.01, E=10002.63
n=120, m=8, U=3.383053, f=0.01, E=9643.14
n=120, m=8, U=3.436867, f=0.01, E=9841.31
n=120, m=8, U=3.760042, f=0.01, E=10598.95
n=120, m=8, U=3.759460, f=0.01, E=10694.54
n=120, m=8, U=3.526949, f=0.01, E=10147.11
n=120, m=8, U=3.705701, f=0.01, E=10360.19
n=120, m=8, U=3.739500, f=0.01, E=10561.99
n=120, m=8, U=3.738596, f=0.01, E=10528.86
n=88, m=8, U=3.738557, f=0.02, E=10245.40
n=88, m=8, U=3.486864, f=0.02, E=9796.15
